tracking_event_id,tracking_number,batch_id,raw_payload,created_at,has_ascan,has_dscan,time_since_last_scan_days,carrier_accepted_date,carrier_delivery_date,label_print_date,last_tracking_event,last_tracking_event_date,MaerskTrackingNumber,TrackingNumber
,9200190371472212591548,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/7/2025,1MTEM01A80017013888,
,9234690371472201369822,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,"Delivered, to Individual/Neighbor",7/5/2025,1MTEM01A80017016421,
,9200190371472212602466,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,"Delivered, to Individual/Neighbor",7/7/2025,1MTEM01A80017017422,
,9200190371264200038780,,,,TRUE,TRUE,304,7/10/2025,7/11/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/11/2025,1MTEM01A80017018906,
,9200190371472212605795,,,,TRUE,TRUE,304,7/8/2025,7/11/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/11/2025,1MTEM01A80017018973,
,9200190371472212612182,,,,TRUE,TRUE,308,7/4/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80017020987,
,9200190371472212621221,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/7/2025,1MTEM01A80017027276,
,9200190371263900973179,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80017034274,
,9200190371472212630964,,,,TRUE,TRUE,305,7/3/2025,7/10/2025,7/1/2025,Delivered in/at mailbox,7/10/2025,1MTEM01A80017039381,
,9200190371472212634160,,,,TRUE,TRUE,306,7/2/2025,7/9/2025,7/1/2025,Delivered in/at mailbox,7/9/2025,1MTEM01A80017044051,
,9200190371472212634610,,,,TRUE,TRUE,307,7/2/2025,7/8/2025,7/1/2025,Delivered in/at mailbox,7/8/2025,1MTEM01A80017044567,
,9200190371472212636072,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80017046536,
,9200190371472212647573,,,,TRUE,TRUE,308,7/4/2025,7/7/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/7/2025,1MTEM01A80017063018,
,9234690371472201377711,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Delivered in/at mailbox,7/7/2025,1MTEM01A80017069845,
,1ZV503A26892699481,,,,TRUE,TRUE,308,7/1/2025,7/7/2025,7/1/2025,Parcel Successfully Delivered,7/7/2025,1MTR011A20029924321,
,1ZV503A20399372790,,,,TRUE,TRUE,312,7/1/2025,7/3/2025,7/1/2025,Parcel Successfully Delivered,7/3/2025,1MTR011A80017069867,
,9261290316867221718740,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Parcel Successfully Delivered,7/7/2025,1MTRVB1A20029882425,
,9261290316867221763610,,,,TRUE,TRUE,307,7/2/2025,7/8/2025,7/1/2025,Parcel Successfully Delivered,7/8/2025,1MTRVB1A20029889444,
,9261290316867221759071,,,,TRUE,TRUE,307,7/3/2025,7/8/2025,7/1/2025,Parcel Successfully Delivered,7/8/2025,1MTRVB1A20029898961,
,9405540202022002986077,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MTRVB1A20029946460,
,9405540202022002990845,,,,TRUE,TRUE,309,7/2/2025,7/6/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/6/2025,1MTRVB1A20029981582,
,9400140202022011234746,,,,TRUE,TRUE,310,7/3/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MTRVB1A20029993158,
,9261290316867221733217,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Parcel Successfully Delivered,7/5/2025,1MTRVB1A30038295962,
,9261290316867221713745,,,,TRUE,TRUE,307,7/2/2025,7/8/2025,7/1/2025,Parcel Successfully Delivered,7/8/2025,1MTRVB1A30038302130,
,9261290316867221728848,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,Parcel Successfully Delivered,7/7/2025,1MTRVB1A30038322963,
,9405540202022002985827,,,,TRUE,TRUE,310,7/3/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MTRVB1A30038335394,
,3.90565E+11,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Parcel Successfully Delivered,7/3/2025,1MTRVB1A30038336902,
,9405540202022002994478,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MTRVB1A30038363711,
,9405540202022002979314,,,,TRUE,TRUE,312,7/1/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MTRVB1A60011295738,
,9405540202022002981201,,,,FALSE,FALSE,314,,,7/1/2025,Carrier Shipping Label Created,7/1/2025,1MTRVB1A60011302007,
,DHL605376985182612114,,,,FALSE,FALSE,314,,,7/1/2025,Carrier Shipping Label Created,7/1/2025,1MTRVB1A60011304706,
,9261290316867222085537,,,,TRUE,TRUE,307,7/2/2025,7/8/2025,7/1/2025,Parcel Successfully Delivered,7/8/2025,1MTRVB1A60011342102,
,9261290316867221734115,,,,TRUE,TRUE,307,7/3/2025,7/8/2025,7/1/2025,Parcel Successfully Delivered,7/8/2025,1MTRVB1A80017042329,
,9261290316867222085049,,,,TRUE,TRUE,306,7/4/2025,7/9/2025,7/1/2025,Parcel Successfully Delivered,7/9/2025,1MTRVB1A80017067270,
,9261290339730909911331,,,,TRUE,TRUE,307,7/3/2025,7/8/2025,7/1/2025,Parcel Successfully Delivered,7/8/2025,1MTRVN1A30038355813,
,9261290339730909921446,,,,TRUE,TRUE,308,7/3/2025,7/7/2025,7/1/2025,Parcel Successfully Delivered,7/7/2025,1MTRVN1A60011339333,
,9261290339730909916558,,,,TRUE,TRUE,307,7/3/2025,7/8/2025,7/1/2025,Parcel Successfully Delivered,7/8/2025,1MTRVN1A60011341448,
,9405540202022002997653,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MTRVS1A20030020522,
,9434640202022005538777,,,,TRUE,TRUE,179,7/2/2025,7/6/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",11/13/2025,1MTRVS1A80017093437,
,9434640202022005488546,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MX1234A20029874987,
,9400140202022011154907,,,,TRUE,TRUE,312,7/1/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MX1234A20029887419,
,9418440202022000317627,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,"Delivered, to Individual/Neighbor",7/5/2025,1MX1234A20029892606,
,9400140202022011161998,,,,TRUE,TRUE,312,7/1/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MX1234A20029897656,
,9400140202022011163985,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MX1234A20029903148,
,9434640202022005497173,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/3/2025,1MX1234A20029919639,
,9400140202022011189954,,,,TRUE,TRUE,312,7/1/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MX1234A20029933860,
,9400140202022011191896,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MX1234A20029935750,
,9400140202022011195627,,,,TRUE,TRUE,310,7/2/2025,7/5/2025,7/1/2025,Delivered in/at mailbox,7/5/2025,1MX1234A20029939282,
,1ZF2H3730324789834,,,,TRUE,TRUE,308,7/2/2025,7/7/2025,7/1/2025,Parcel Successfully Delivered,7/7/2025,1MX1234A20029949362,
,9400140202022011204510,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MX1234A20029950072,
,9400140202022011206477,,,,TRUE,TRUE,310,7/1/2025,7/5/2025,7/1/2025,"Delivered, Front Door/Porch/Reception",7/5/2025,1MX1234A20029952074,
,9400140202022011216896,,,,TRUE,TRUE,312,7/2/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MX1234A20029967531,
,9400140202022011220312,,,,TRUE,TRUE,312,7/1/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MX1234A20029971446,
,9400140202022011222019,,,,TRUE,TRUE,312,7/1/2025,7/3/2025,7/1/2025,Delivered in/at mailbox,7/3/2025,1MX1234A20029973909,
